hour,day_of_week,parking_location,previous_occupancy,traffic_level,weather,event_level,parking_price,available_spaces,occupancy_percentage
2,1,1,50.14,3,0,3,3.2,27,43.98
18,0,0,70.92,2,1,1,4.5,12,55.7
15,4,1,21.94,1,3,2,3.2,43,15.52
10,4,1,44.94,0,0,3,3.2,30,53.97
10,5,0,52.93,0,0,0,4.5,19,24.11
20,6,2,71.2,0,1,0,5.0,10,32.72
2,3,1,91.8,1,2,3,3.2,5,73.88
16,5,0,81.34,3,3,2,4.5,7,80.53
4,5,2,60.94,0,2,2,5.0,14,44.7
2,1,0,57.53,2,1,1,4.5,17,30.72
12,5,1,59.29,1,3,3,3.2,22,59.43
23,0,1,54.07,0,0,2,3.2,25,41.31
17,4,1,10.34,2,3,1,3.2,49,29.01
18,6,2,67.85,2,1,2,5.0,11,62.28
17,4,2,69.47,3,1,0,5.0,11,43.27
18,6,1,51.12,2,3,0,3.2,27,38.51
12,0,2,83.33,1,2,0,5.0,6,53.23
3,3,2,65.52,3,1,3,5.0,12,73.3
20,5,2,37.64,0,1,2,5.0,22,27.43
10,4,1,6.77,2,1,0,3.2,51,15.25
12,6,0,10.32,3,3,3,4.5,36,41.41
8,3,0,36.66,0,0,3,4.5,25,38.7
4,4,1,46.59,3,0,1,3.2,29,39.38
22,2,1,20.02,0,1,0,3.2,44,16.92
18,6,0,22.04,1,1,1,4.5,31,13.32
15,0,0,25.72,1,3,2,4.5,30,15.71
9,1,2,75.25,0,0,2,5.0,9,51.78
19,0,2,74.42,2,3,1,5.0,9,63.8
13,4,2,39.46,1,3,0,5.0,21,24.0
10,1,0,20.51,2,1,2,4.5,32,36.23
10,2,0,14.98,1,3,2,4.5,34,25.96
5,5,0,12.84,2,3,1,4.5,35,14.31
2,2,2,40.22,3,3,2,5.0,21,49.95
13,1,1,9.1,2,1,2,3.2,50,6.23
21,0,2,35.03,0,1,2,5.0,23,15.41
1,1,1,91.54,1,3,0,3.2,5,55.53
20,6,1,50.68,1,1,1,3.2,27,26.17
19,3,1,79.04,0,0,1,3.2,12,52.24
6,6,2,16.63,0,2,3,5.0,29,26.59
15,1,1,29.13,0,1,3,3.2,39,25.49
3,2,1,90.19,3,3,3,3.2,5,77.67
18,1,2,39.52,1,3,1,5.0,21,36.96
16,2,1,63.36,3,0,1,3.2,20,72.31
8,3,2,92.85,2,3,1,5.0,3,86.4
1,5,1,54.57,2,3,3,3.2,25,58.19
23,2,2,32.48,3,3,2,5.0,24,35.61
10,5,1,52.88,2,1,2,3.2,26,53.9
21,4,1,9.92,0,2,1,3.2,50,7.36
16,2,0,15.11,1,3,2,4.5,34,28.39
18,6,1,5.65,2,3,3,3.2,52,31.04
18,3,0,84.58,0,1,2,4.5,6,57.62
4,1,1,65.42,0,2,1,3.2,19,35.46
8,6,2,31.85,0,1,3,5.0,24,26.27
11,6,1,24.9,2,1,3,3.2,41,40.57
11,0,1,66.48,1,2,3,3.2,18,62.3
1,6,0,87.76,0,1,3,4.5,5,52.46
13,6,2,31.92,2,0,1,5.0,24,26.29
3,5,1,33.94,2,2,1,3.2,36,31.29
17,1,1,81.88,2,1,0,3.2,10,77.99
16,4,0,85.4,0,2,1,4.5,6,61.99
22,3,0,87.26,3,1,2,4.5,5,74.4
17,4,0,31.38,0,3,2,4.5,27,32.25
8,4,2,15.83,2,3,0,5.0,29,23.62
23,4,2,44.6,2,1,3,5.0,19,56.05
9,3,0,31.62,0,2,0,4.5,27,21.06
7,4,0,84.55,1,0,0,4.5,6,45.8
