hour,day_of_week,previous_occupancy,current_occupancy,traffic_level,weather,event_level,parking_price,total_spaces,occupancy_percentage
20,1,88.02,82.31,3,0,1,5.18,124,52.25
4,3,77.38,51.26,0,2,0,6.69,55,13.24
0,3,51.35,45.52,3,2,1,5.38,24,50.49
15,1,68.09,60.18,0,2,0,6.54,39,26.15
8,1,15.05,45.04,3,1,2,6.52,76,38.45
11,6,78.01,53.99,2,1,0,2.43,37,46.83
1,3,68.67,47.18,0,2,3,4.38,124,31.99
8,4,16.39,25.45,2,0,2,2.99,43,33.81
15,2,47.94,38.35,0,0,2,1.84,132,26.27
8,0,91.34,74.36,1,2,1,2.08,87,68.99
19,1,44.18,56.1,0,3,2,7.3,120,37.41
18,5,86.19,73.96,0,2,1,6.6,89,51.48
16,6,70.98,85.39,1,0,3,6.91,59,67.02
21,3,75.23,55.57,1,3,0,2.48,108,47.78
17,4,93.13,90.12,3,1,3,3.11,116,86.42
4,2,79.51,69.22,3,0,1,3.11,66,50.83
20,6,75.16,72.2,1,2,1,4.1,121,46.36
15,3,59.05,47.73,0,1,3,6.49,29,33.3
2,4,85.45,62.66,1,2,3,4.8,17,59.66
7,3,5.24,17.68,0,2,1,5.04,97,9.47
3,3,31.01,24.69,0,0,3,6.6,24,16.39
23,6,27.24,37.63,1,2,3,3.79,25,32.21
17,3,77.27,70.16,1,2,3,6.73,42,63.99
22,4,6.04,9.99,0,1,2,7.45,143,0.0
6,2,92.54,88.54,2,1,2,4.45,130,58.63
15,1,24.51,43.85,2,3,3,5.44,117,46.67
14,1,52.52,41.42,0,0,0,6.27,147,8.56
18,2,12.31,31.94,2,0,0,2.72,90,23.08
2,4,17.56,11.66,2,0,0,3.7,30,0.0
12,0,30.08,24.99,2,1,0,1.79,25,21.95
15,6,67.76,33.34,0,1,1,7.2,74,9.75
19,2,8.17,24.85,1,2,3,4.26,76,27.51
15,6,74.84,64.22,0,0,3,4.42,74,49.58
10,5,43.93,45.43,2,0,0,1.94,31,35.55
11,0,44.31,39.69,0,2,2,6.81,44,23.34
8,2,42.01,43.78,2,3,0,3.68,148,36.98
3,0,8.25,4.85,1,3,3,2.83,59,23.73
6,5,46.65,47.47,0,1,1,4.03,68,24.34
3,2,88.51,69.63,0,3,2,4.08,109,52.08
5,2,63.94,57.71,2,0,2,5.19,102,30.96
20,5,55.42,58.12,2,2,3,4.48,104,47.22
12,4,59.16,60.68,3,0,1,3.18,26,52.49
2,0,38.33,50.92,3,2,2,2.27,60,47.96
10,0,15.15,18.11,0,3,2,2.32,70,20.98
6,0,64.44,64.84,1,0,3,5.08,73,40.85
15,0,19.78,24.61,0,3,3,5.85,33,23.9
19,3,84.81,77.62,3,2,1,2.16,23,78.63
0,2,83.18,46.19,0,3,0,4.87,91,33.7
11,2,12.59,28.5,3,0,3,6.14,126,40.49
10,6,17.84,29.64,0,3,3,1.76,148,35.09
23,3,73.44,72.8,3,1,1,6.26,15,57.55
8,4,78.12,60.81,0,2,3,2.7,71,64.99
3,1,91.61,81.37,3,0,2,6.28,138,55.03
4,1,72.55,52.94,1,1,2,5.14,109,32.26
11,1,46.89,43.33,1,1,1,5.28,41,25.32
14,2,34.12,36.29,1,0,2,2.19,22,33.8
7,5,17.88,38.41,1,0,2,6.73,41,24.46
10,0,28.99,31.48,0,1,0,3.88,45,21.6
15,0,77.37,62.68,1,0,0,3.81,143,41.31
7,4,91.54,93.45,3,1,3,6.65,27,73.52
23,0,57.33,80.65,3,0,2,3.14,48,64.45
5,6,35.7,39.38,1,0,3,6.64,35,27.11
22,0,12.97,37.54,3,1,3,2.8,115,34.89
20,4,74.48,69.43,2,0,1,7.06,32,39.23
22,2,12.81,16.49,1,1,0,3.33,37,7.41
19,5,30.52,48.42,1,3,2,6.67,100,28.19
12,6,27.51,30.14,1,2,0,1.69,68,11.65
14,2,51.97,59.61,1,1,3,4.53,75,40.79
4,4,12.51,35.71,2,1,3,6.08,111,23.55
8,5,26.67,34.81,0,0,3,3.3,91,28.56
11,3,89.6,66.53,1,1,1,1.91,136,56.61
22,3,79.36,69.78,1,0,2,3.77,96,43.51
19,2,25.91,42.89,2,3,2,4.78,27,45.27
13,4,82.9,64.66,1,2,1,1.8,57,43.27
14,6,8.54,0.95,1,3,1,2.57,41,7.68
10,1,86.61,79.71,1,0,0,5.01,130,46.34
10,1,68.01,74.96,1,1,2,5.01,70,58.02
21,4,30.57,36.85,2,2,3,5.78,83,44.01
0,2,22.83,27.5,3,2,0,3.31,122,28.86
7,1,42.6,37.24,0,3,1,4.77,133,16.82
9,0,33.14,26.58,0,0,0,5.77,93,5.22
16,2,88.43,96.08,2,3,0,5.3,121,71.87
9,3,49.77,63.81,0,2,2,5.95,19,38.96
7,1,40.36,38.42,0,2,1,1.92,109,37.06
1,5,70.54,46.83,0,1,2,5.39,79,25.11
6,3,33.71,34.9,1,3,1,2.63,81,31.61
2,2,50.49,53.71,2,3,2,3.87,140,41.2
16,1,72.07,67.78,1,0,3,4.28,127,71.34
10,2,34.46,58.65,3,1,3,2.25,35,73.4
5,4,32.41,27.58,1,1,0,2.37,106,11.58
12,4,66.69,66.44,1,0,3,2.08,67,58.52
11,4,49.89,50.58,0,2,3,3.07,115,35.13
11,2,34.65,25.61,0,1,3,5.81,30,17.88
13,1,73.76,82.21,2,3,3,3.36,18,74.46
15,6,18.1,9.73,0,1,1,4.76,48,0.11
4,5,23.02,0.0,0,2,1,6.86,66,0.0
3,6,36.23,5.26,0,0,1,2.66,141,0.0
17,4,68.04,71.66,2,1,2,3.36,102,62.11
23,5,15.98,28.73,1,3,3,5.01,146,21.19
13,6,30.19,34.92,1,1,3,1.58,20,29.21
10,2,54.76,61.51,1,0,0,5.28,28,47.26
14,6,5.03,1.82,0,2,1,2.32,81,0.0
0,4,62.61,38.34,1,1,2,7.19,78,26.94
8,6,43.21,29.04,0,3,1,7.14,86,24.57
8,6,71.13,82.27,1,1,3,3.71,75,79.92
10,6,77.67,67.94,1,0,1,4.11,46,50.09
17,6,81.49,90.45,3,3,3,5.48,93,79.43
11,6,65.75,71.58,2,3,3,4.81,51,62.61
20,4,36.23,32.02,2,1,0,7.26,14,24.75
11,6,44.0,36.81,1,0,0,6.8,112,8.8
0,6,91.58,62.77,3,1,0,6.62,72,41.24
16,6,48.6,37.22,1,0,2,4.37,21,38.56
19,3,76.05,72.07,1,2,2,4.7,122,57.66
13,2,52.78,79.01,3,1,3,2.53,11,82.67
22,1,64.15,52.92,0,1,2,6.56,62,32.15
9,0,63.11,65.81,0,0,2,4.02,141,55.31
19,4,40.55,28.76,1,3,2,5.79,60,39.49
0,6,36.88,30.34,3,2,0,3.21,110,23.11
0,4,69.79,67.66,3,3,0,6.67,107,33.14
19,2,15.6,23.0,0,1,0,4.75,88,10.59
20,1,82.92,47.32,0,2,0,4.59,90,21.06
12,6,10.68,14.21,2,1,2,4.48,118,16.53
18,0,53.42,57.22,1,3,3,1.62,53,72.79
7,6,63.9,57.72,2,3,2,5.33,47,60.88
17,1,29.59,54.24,2,3,3,3.67,31,53.56
11,4,33.75,28.24,1,1,0,5.07,106,23.81
7,5,55.31,68.0,2,3,2,6.1,38,43.0
2,2,35.72,36.96,2,3,2,3.77,94,29.7
4,0,52.0,37.05,2,3,1,2.2,138,31.39
21,4,21.46,27.76,2,1,1,4.83,52,29.01
10,6,9.27,2.65,0,1,0,4.2,18,0.0
23,5,43.93,54.21,3,3,1,2.91,51,52.84
8,2,91.06,91.18,2,0,3,5.66,111,76.31
1,1,34.29,12.16,1,0,0,6.74,78,2.3
6,1,25.66,32.66,2,3,3,5.97,47,39.85
8,6,22.9,33.72,2,2,2,6.26,22,32.55
16,3,24.8,27.16,0,3,2,4.74,33,23.04
17,5,90.19,89.58,2,2,0,6.53,111,60.58
17,5,74.16,65.38,0,1,3,7.21,69,55.23
7,6,33.33,31.48,0,1,2,4.51,138,15.42
9,1,11.26,42.02,1,2,3,5.57,18,33.72
13,2,7.93,11.67,0,3,0,2.29,137,3.01
14,4,20.71,43.31,3,2,2,5.46,34,53.47
9,6,88.9,73.33,0,2,0,5.83,93,30.61
4,5,7.05,0.0,0,3,1,6.24,125,0.0
18,1,38.52,54.76,2,1,3,7.5,39,51.38
12,6,14.03,0.0,0,3,1,6.93,60,3.66
