hour,day_of_week,previous_occupancy,current_occupancy,traffic_level,weather,event_level,parking_price,total_spaces,occupancy_percentage
2,4,18.58,24.64,3,0,0,4.61,150,4.17
18,5,47.21,37.41,2,3,2,3.62,88,51.26
15,1,33.93,38.56,0,1,2,1.95,15,34.88
10,2,88.65,94.37,3,2,3,7.45,136,91.12
10,6,61.94,62.6,3,3,2,2.55,144,52.29
20,5,21.64,19.01,0,0,2,3.03,49,17.22
2,2,94.31,58.72,0,1,1,2.92,66,31.31
16,1,67.48,51.01,0,0,1,6.95,13,37.34
4,2,17.12,9.76,3,1,1,6.08,122,8.22
2,3,76.96,74.52,2,1,3,4.24,119,63.3
12,3,55.18,49.81,2,3,1,7.23,12,36.49
23,1,41.02,43.8,1,1,3,1.82,109,49.17
17,0,22.67,38.23,1,2,1,6.86,68,21.51
18,3,30.01,47.0,2,0,2,1.86,86,49.41
17,5,20.05,12.52,0,1,1,3.85,40,13.56
18,1,77.3,81.37,2,3,1,1.82,124,83.91
12,2,29.57,43.68,0,2,3,7.49,67,29.99
3,1,47.3,52.58,3,1,2,6.99,128,37.61
20,1,92.11,64.27,0,3,1,5.01,30,49.74
10,4,94.51,66.74,0,3,1,2.81,92,63.8
12,2,76.21,65.56,1,1,3,3.16,53,61.04
8,1,76.9,66.09,1,3,0,4.2,146,42.9
4,6,90.04,86.81,2,0,3,3.44,88,68.17
22,1,76.71,72.92,3,1,2,1.63,111,69.74
18,1,45.59,49.28,2,3,1,5.44,22,45.55
15,6,10.43,25.66,1,3,2,5.18,105,11.44
9,3,23.75,41.06,2,3,3,6.93,24,47.34
19,0,45.01,65.4,2,0,1,4.36,60,54.3
13,2,28.89,23.76,0,0,1,3.57,41,7.01
10,3,34.63,50.11,0,2,3,4.57,10,36.57
10,1,10.3,19.1,0,0,1,2.67,92,25.07
5,3,54.69,48.33,0,3,3,5.25,43,38.92
2,4,36.64,44.14,3,3,3,6.12,82,41.97
13,1,28.3,32.59,1,3,2,2.42,117,35.58
21,5,59.93,49.08,1,3,0,3.41,35,30.22
1,3,29.91,24.12,1,0,0,6.71,110,0.0
20,6,47.86,45.14,1,3,1,4.53,51,30.86
19,0,27.18,24.19,2,1,0,4.69,56,31.48
6,2,66.25,61.5,0,0,3,5.83,91,32.49
15,5,81.87,70.35,2,1,2,4.97,98,48.37
3,6,12.35,14.07,3,3,1,1.92,102,11.63
18,1,78.79,93.93,3,3,3,6.32,37,92.36
16,6,81.65,80.68,1,2,0,7.04,91,48.3
8,1,91.84,92.5,3,0,2,1.82,47,82.3
1,2,79.51,67.05,0,2,1,2.23,49,40.99
23,2,54.72,31.72,0,2,0,5.71,143,8.98
10,2,11.32,30.77,1,2,1,5.13,24,15.04
21,6,11.7,9.44,0,1,0,3.8,68,2.66
16,5,22.7,27.81,1,0,0,4.74,71,14.8
18,5,45.24,62.25,3,1,0,5.72,44,54.07
18,1,90.99,83.06,3,3,0,4.53,120,63.65
4,6,20.78,26.91,1,1,2,2.34,78,20.01
8,3,53.49,59.06,1,0,3,2.04,111,48.19
11,4,94.83,72.78,1,1,1,4.13,64,68.36
11,4,6.24,3.21,0,1,2,7.04,136,0.0
1,4,9.23,9.74,0,2,0,4.85,112,0.52
13,4,29.29,56.08,3,2,3,3.65,56,55.24
3,3,25.26,24.84,2,1,2,6.95,145,12.73
17,4,49.87,60.73,2,0,1,3.83,131,53.31
16,6,42.84,53.73,1,1,3,4.55,93,41.96
22,2,57.53,57.95,3,0,1,2.2,12,58.64
17,3,18.24,30.88,0,2,1,5.92,93,23.47
8,1,66.73,75.66,3,1,3,5.7,107,71.48
23,2,24.32,12.17,2,1,0,6.27,61,9.39
9,5,45.68,50.71,1,2,2,3.45,30,57.04
7,4,8.0,34.23,3,3,2,4.12,89,46.33
21,1,76.81,64.15,1,1,2,2.51,123,48.32
8,3,61.44,59.99,1,2,3,7.29,55,56.42
1,5,23.79,10.21,2,2,1,2.02,74,10.24
11,0,59.16,50.05,2,2,0,5.39,10,32.13
19,0,44.33,46.79,2,1,1,5.73,109,43.59
4,2,79.36,60.89,1,0,0,2.45,132,28.58
11,4,93.53,83.96,1,0,2,3.69,119,61.46
3,2,16.21,13.28,1,0,2,1.76,70,17.22
